"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"VANTAGE HEALTH PLAN OF ARKANSAS, INC.","Vantage Health Plan","H2722","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Louisiana Health Service & Indemnity Company","Dallas","242","130 DeSiard Street","Suite 300","Monroe","LA","71201","Director of Member Servic","Trichel","Amy","","1-888-823-1910","","","atrichel@vhpla.com","130 DeSiard Street, Suite 300","","Monroe","LA","71201","08/12/2020"
"VANTAGE HEALTH PLAN, INC.","Vantage Health Plan","H5576","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","Louisiana Health Service & Indemnity Company","Dallas","17,642","130 DeSiard St","Suite 300","Monroe","LA","71201","Director of Member Servic","Trichel","Amy","","1-888-823-1910","","","atrichel@vhpla.com","130 DeSiard Street, Suite 300","","Monroe","LA","71201","08/12/2020"
"VIA CHRISTI HEALTHCARE OUTREACH FOR ELDERS, INC.","Ascension Living HOPE","H1714","National PACE","National PACE","09/01/2002","Not-for-Profit/Non-Profit","Ascension Health Alliance","Kansas City","198","2622 W. Central Ave, Suite 101","","WICHITA","KS","67203","Executive Director","Johnson","Melissa","","1-316-946-5341","","1-316-946-5106","melissa.johnson9@ascension.org","2622 W. Central, Suite 101","","Wichita","KS","67203","03/22/2020"
"VIBRA HEALTH PLAN, INC.","Vibra Health Plan","H9408","Local CCP","Local PPO","01/01/2017","For Profit","Capital BlueCross","Philadelphia","4,548","PO Box 60250","","Harrisburg","PA","17106","Medicare Compliance Offic","Knight","Alton","","1-844-388-8268","","","alton.knight@capbluecross.com","2500 Elmerton Avenue","","Harrisburg","PA","17177","05/14/2020"
"VIECARE ARMSTRONG, LLC","LIFE Armstrong","H6188","National PACE","National PACE","04/01/2015","Not-for-Profit/Non-Profit","Lutheran SeniorLife","Philadelphia","67","1 Nolte Drive","","Kittanning","PA","16201","Vice President System Dev","Van Kirk","Donna","","1-724-776-1100","","","donna.vankirk@lutheranseniorlife.org","191 Scharberry Lane","","Mars","PA","16046","02/02/2018"
"VIECARE BEAVER, LLC","LIFE Beaver and Lawrence Counties","H7660","National PACE","National PACE","11/01/2008","Not-for-Profit/Non-Profit","Lutheran SeniorLife","Philadelphia","454","191 Scharberry Ln","","Mars","PA","16046","Vice President System Dev","Van Kirk","Donna","","1-724-776-1100","","","donna.vankirk@lutheranseniorlife.org","191 Scharberry Lane","","Mars","PA","16046","02/02/2018"
"VIECARE BUTLER, LLC","LIFE Butler County","H3060","National PACE","National PACE","09/01/2013","Not-for-Profit/Non-Profit","Lutheran SeniorLife","Philadelphia","195","231 West Diamond St","","Butler","PA","16001","Vice President System Dev","Van Kirk","Donna","","1-724-776-1100","","","donna.vankirk@lutheranseniorlife.org","191 Scharberry Lane","","Mars","PA","16046","02/02/2018"
"VILLAGE SENIOR SERVICES CORPORATION","VillageCareMAX","H2168","Local CCP","HMO/HMOPOS","01/01/2017","Not-for-Profit/Non-Profit","Village Care of New York, Inc.","New York","2,624","112  Charles Street","","New York","NY","10014","","Services","Provider","","1-855-769-2500","","","villagecaremaxinfo@villagecare.org","PO Box 5536","","Hauppauge","NY","11788","02/03/2016"
"VIRGINIA PREMIER HEALTH PLAN, INC.","Virginia Premier","H9877","Local CCP","HMO/HMOPOS","01/01/2017","Not-for-Profit/Non-Profit","Sentara Health Care (SHC)","Philadelphia","9,400","600 E. Broad Street","Suite 400","Richmond","VA","232191800","Director, Marketing & Com","Waldron","Gina","","1-804-819-5151","55085","","gina.waldron@virginiapremier.com","600 East Broad Street","Suite 400","Richmond","VA","23219","05/19/2020"
"VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK","Nascentia Health Plus","H9066","Local CCP","HMO/HMOPOS","01/01/2019","Not-for-Profit/Non-Profit","VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK","New York","43","1050 West Genesee St","","Syracuse","NY","13204","Exec Vp Strategic Operati","Lindsay","Tammy","","1-888-477-4663","","","tlindsay@477home.org","1050 West Genesee St","","Syracuse","NY","13204","05/27/2020"
"VISTA HEALTH PLAN, INC.","VISTA Health Plan Inc.","H4227","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Independence Health Group, Inc.","Philadelphia","11,330","1901 Market St","","Philadelphia","PA","19103","","Services","Provider","","1-800-521-6007","","","VIPProviderComm@amerihealthcaritas.com","Amerihealth Caritas Family of Companies","200 Stevens Dr.","Philadelphia","PA","19113","01/12/2017"
"VITALITY HEALTH PLAN OF CALIFORNIA, INC.","Vitality Health Plan of California","H1426","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Vitality Health Plans, Inc.","San Francisco","5,000","18000 Studebaker","Suite 960","Cerritos","CA","90703","","Cao","Kevin","","1-866-333-3530","","","MemberServices@VitalityHP.net","18000 Studebaker Rd","Suite 150","Cerritos","CA","90703","02/10/2020"
"VIVA HEALTH, INC.","VIVA Medicare","H0154","Local CCP","HMO/HMOPOS","05/01/1998","Not-for-Profit/Non-Profit","Triton Health Systems, L.L.C.","Atlanta","49,011","417 20th Street North","Suite 1100","BIRMINGHAM","AL","35203","Supervisor of Provider Da","Peters","Johanna","","1-205-558-2014","","1-205-449-7407","jbpeters@uabmc.edu","417 20th Street North","Suite 1100","Birmingham","AL","35203","04/23/2019"
"VNS CHOICE","VNSNY CHOICE Medicare","H5549","Local CCP","HMO/HMOPOS","01/01/2007","Not-for-Profit/Non-Profit","Visiting Nurse Service of New York","New York","3,054","107 E 70th Street","","New York","NY","10021","Director, Marketing","Zanca","Cindy","","1-866-783-1444","","","Cindy.Zanca@vnsny.org","220 East 42nd Street","3rd Floor","New York","NY","10017","10/17/2018"
"VOANS SENIOR COMMUNITY CARE OF COLORADO, INC","Senior CommUnity Care of Colorado","H2815","National PACE","National PACE","08/01/2008","Not-for-Profit/Non-Profit","Volunteers of America National Services","Denver","321","2377 Robins Way","","Montrose","CO","81401","Business Office Manager","Curtis","Jeanette","","1-970-835-2970","","1-970-835-2975","jcurtis@voa.org","2377 Robins Way","","Montrose","CO","81401","03/07/2016"
"VOANS SENIOR COMMUNITY CARE OF MICHIGAN, INC.","Senior Community Care of Michigan","H6787","National PACE","National PACE","04/01/2015","Not-for-Profit/Non-Profit","Volunteers of America National Services","Chicago","162","1921 East Miller Road","","Lansing","MI","48911","Vice President of Informa","Osborne","David","","1-952-941-0305","","1-952-941-0428","dosborne@voa.org","7530 Market Place Dr.","","Eden Prairie","MN","55344","09/10/2014"
"VOANS SENIOR COMMUNITY CARE OF NORTH CAROLINA, INC","Senior CommUnity Care of North Carolina","H0839","National PACE","National PACE","07/01/2013","Not-for-Profit/Non-Profit","Volunteers of America National Services","Atlanta","170","4022 Stirrup Creek Drive Suite 315","","Durham","NC","27703","Executive Director","Hively","Antionette","","1-919-425-2971","","","thively@voa.org","4022 Stirrup Creek Drive Suite 315","","Durham","NC","27703","09/27/2019"
"VOLUNTEER STATE HEALTH PLAN","BlueCare Plus Tennessee","H3259","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","BlueCross BlueShield of Tennessee","Atlanta","21,040","1 Cameron Hill Circle","","Chattanooga","TN","374022011","","Service","Customer","","1-800-299-1407","","","BlueCarePlus_GM@bcbst.com","1 Cameron Hill Circle","","Chattanooga","TN","37402","12/14/2016"
"WABASH MEMORIAL HOSPITAL ASSOCIATION","Wabash Mem. Hospital","H6140","HCPP - 1833 Cost","HCPP - 1833 Cost","01/01/1987","Not-for-Profit/Non-Profit","Wabash Memorial Hospital Association","Chicago","1,257","1501 NORTH WATER ST.","","DECATUR","IL","62526","Admin.","Riggen","Julie","","1-217-429-5246","","1-217-542-0134","julie@wabashcannonball.org","1340 N. Water St","PO Box 1340","Decatur","IL","62526","10/25/2016"
"WASHINGTON REGIONAL MEDICORP","PACE of the Ozarks","H6425","National PACE","National PACE","02/01/2019","Not-for-Profit/Non-Profit","Washington Regional Medical Center","Dallas","64","813 Founders Park Drive E, Suite 107","","Springdale","AR","72762","Executive Director","Flack","Angelic","M","1-479-463-6611","","1-479-463-6601","Aflack@wregional.com","813 Founders Park Drive East, Suite 107","","Springdale","AR","72762","10/23/2019"
"WELLCARE HEALTH INSURANCE COMPANY OF AMERICA","WellCare","H0270","Local CCP","Local PPO","01/01/2019","For Profit","Centene Corporation","Dallas","117","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","02/01/2018"
"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC","WellCare","H9730","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Centene Corporation","Dallas","24,736","8735 Henderson Road","","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","09/19/2014"
"WELLCARE HEALTH INSURANCE COMPANY OF NEW HAMPSHIRE","WellCare","H0969","Local CCP","Local PPO","01/01/2020","For Profit","Centene Corporation","Dallas","554","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/11/2019"
"WELLCARE HEALTH INSURANCE COMPANY OF WASHINGTON","WellCare","H5965","Local CCP","Local PPO","01/01/2020","For Profit","Centene Corporation","Dallas","81","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/11/2019"
"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","WellCare","H5199","Local CCP","Local PPO","01/01/2018","For Profit","Centene Corporation","Dallas","2,847","8735 Henderson Road","","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","02/13/2017"
"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","WellCare","H2491","Local CCP","HMO/HMOPOS","01/01/2009","For Profit","Centene Corporation","Dallas","21,788","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","09/19/2014"
"WELLCARE HEALTH INSURANCE OF CONNECTICUT, INC.","WellCare","H1914","Local CCP","Local PPO","01/01/2020","For Profit","Centene Corporation","Dallas","2,526","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/11/2019"
"WELLCARE HEALTH INSURANCE OF NEW YORK, INC.","WellCare","H0088","Local CCP","Local PPO","01/01/2018","For Profit","Centene Corporation","Dallas","120","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/25/2017"
"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC.","WellCare","H7175","Local CCP","Local PPO","01/01/2020","For Profit","Centene Corporation","Dallas","1,547","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/11/2019"
"WELLCARE HEALTH INSURANCE OF TENNESSEE, INC.","WellCare","H9428","Local CCP","Local PPO","01/01/2020","For Profit","Centene Corporation","Dallas","55","8735 Henderson Road","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/23/2019"
"WELLCARE HEALTH PLANS OF ARIZONA, INC.","WellCare","H6439","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Centene Corporation","Dallas","4,627","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","02/02/2018"
"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.","WellCare","H0913","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Centene Corporation","Dallas","12,917","P.O. Box 26011","","Tampa","FL","336236011","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","09/19/2014"
"WELLCARE NATIONAL HEALTH INSURANCE COMPANY","WellCare","H7323","Local CCP","Local PPO","01/01/2020","For Profit","Centene Corporation","Dallas","1,407","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/11/2019"
"WELLCARE OF ALABAMA, INC.","WellCare","H6975","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Centene Corporation","Dallas","77","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","02/01/2018"
"WELLCARE OF CALIFORNIA, INC.","WellCare","H5087","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Centene Corporation","Dallas","43,644","180 E. Ocean Blvd","Suite 700","Long  Beach","CA","90802","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/11/2019"
"WELLCARE OF CONNECTICUT, INC.","WellCare","H0712","Local CCP","HMO/HMOPOS","05/01/2005","For Profit","Centene Corporation","Dallas","9,344","116 WASHINGTON AVENUE","","NORTH HAVEN","CT","06437","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","09/19/2014"
"WELLCARE OF FLORIDA, INC.","WellCare","H1032","Local CCP","HMO/HMOPOS","01/01/2000","For Profit","Centene Corporation","Dallas","112,283","8735 Henderson Road","Ren 1","TAMPA","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","09/19/2014"
"WELLCARE OF GEORGIA, INC.","WellCare","H0111","Local CCP","Local PPO","01/01/2018","For Profit","Centene Corporation","Dallas","5,223","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/25/2017"
"WELLCARE OF GEORGIA, INC.","WellCare","H1112","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","Centene Corporation","Dallas","53,246","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","09/19/2014"
"WELLCARE OF MAINE, INC.","WellCare","H9364","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Centene Corporation","Dallas","5,363","8735 Henderson Rd.","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","02/02/2018"
"WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC","WellCare","H7518","Local CCP","Local PPO","01/01/2020","For Profit","Centene Corporation","Dallas","162","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/11/2019"
"WELLCARE OF NEW HAMPSHIRE, INC.","WellCare","H2162","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Centene Corporation","Dallas","38","8735 Henderson Rd","Ren1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/11/2019"
"WELLCARE OF NEW YORK, INC.","WellCare","H4868","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Dallas","37,257","44 South Broadway","Suite 1200","White Plains","NY","10601","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/08/2019"
"WELLCARE OF SOUTH CAROLINA, INC.","WellCare","H4847","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Centene Corporation","Dallas","5,300","200 Center Point Circle","Suite 180","Columbia","SC","29210","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","02/02/2018"
"WELLCARE OF SOUTH CAROLINA, INC.","WellCare","H7326","Local CCP","Local PPO","01/01/2018","For Profit","Centene Corporation","Dallas","7,458","200 Center Point Circle","Suite 180","Columbia","SC","29210","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/26/2017"
"WELLCARE OF TEXAS, INC.","WellCare","H0174","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","Centene Corporation","Dallas","32,655","4888 Loop Central Drive, Suite 700","","Houston","TX","77081","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","12/20/2018"
"WELLCARE OF WASHINGTON, INC.","WellCare","H1353","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Centene Corporation","Dallas","1,398","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","01/11/2019"
"WEST VIRGINIA SENIOR ADVANTAGE, INC.","West Virginia Senior Advantage","H9153","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Stonerise Senior Advantage Holdings, LLC","Philadelphia","593","700 Chappell Road","","Charleston","WV","25304","VP","Mayer","Shannon","","1-844-854-6888","","","shannon.mayer@optum.com","1100 Optum Circle","","Eden Prairie","MN","55344","01/12/2020"
"WESTERN SKY COMMUNITY CARE, INC.","Allwell","H2134","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Centene Corporation","Dallas","652","5300 Homestead Road NE","","Albuquerque","NM","87110","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Pkwy","Suite 200","Columbus","OH","43219","01/30/2018"
